Winner,Loser
Brentford,Arsenal
ManUnited,LeedsUnited
LeicesterCity,Wolves
Chelsea,CrystalPalace
Watford,AstonVilla
Everton,Southampton
Brighton,Burnley
Liverpool,NorwichCity
WestHam,Newcastle
Tottenham,ManCity
Liverpool,Burnley
AstonVilla,Newcastle
ManCity,NorwichCity
Brighton,Watford
Tottenham,Wolves
Chelsea,Arsenal
WestHam,LeicesterCity
ManCity,Arsenal
Everton,Brighton
LeicesterCity,NorwichCity
Tottenham,Watford
ManUnited,Wolves
CrystalPalace,Tottenham
Wolves,Watford
Brighton,Brentford
Arsenal,NorwichCity
ManUnited,Newcastle
ManCity,LeicesterCity
Chelsea,AstonVilla
Liverpool,LeedsUnited
Everton,Burnley
Brentford,Wolves
Watford,NorwichCity
Arsenal,Burnley
Liverpool,CrystalPalace
AstonVilla,Everton
Brighton,LeicesterCity
ManUnited,WestHam
Chelsea,Tottenham